"species" "lat.breeding" "lon.breeding" "lat.nonbreeding" "lon.nonbreeding"
"1" "Alectroenas_madagascariensis" -19.14009942 47.63738976 -19.14009942 47.63738976
"2" "Caloenas_nicobarica" -2.205407 120.403909 -2.205407 120.403909
"3" "Chalcophaps_indica" 4.444651 101.918635 4.444651 101.918635
"4" "Chalcophaps_stephani" -4.890404158 138.7094689 -4.890404158 138.7094689
"5" "Claravis_pretiosa" -6.707200397 -59.4789421 -6.707200397 -59.4789421
"6" "Columba_guinea" 1.23560855 20.37477983 1.23560855 20.37477983
"7" "Columba_leuconota" 46.53375279 84.8623355 46.53375279 84.8623355
"8" "Columba_livia" 33.221508 54.5375 33.221508 54.5375
"9" "Columba_oenas" 53.64029647 40.28695196 42.69574626 12.38397214
"10" "Columba_rupestris" 45.93683093 102.670364 45.93683093 102.670364
"11" "Columbina_cruziana" -8.678262851 -77.34260866 -8.678262851 -77.34260866
"12" "Columbina_inca" 26.6395313 -102.3513759 26.6395313 -102.3513759
"13" "Columbina_minuta" -8.408614982 -55.1727789 -8.408614982 -55.1727789
"14" "Columbina_passerina" 10.76858612 -74.31048476 10.76858612 -74.31048476
"15" "Columbina_picui" -24.42875394 -59.08097185 -8.529659537 -70.1505525
"16" "Columbina_squammata" -12.04623366 -50.49155728 -12.04623366 -50.49155728
"17" "Columbina_talpacoti" -8.335762805 -60.45363081 -8.335762805 -60.45363081
"18" "Drepanoptila_holosericea" -21.34580626 165.5020864 -21.34580626 165.5020864
"19" "Ducula_aenea" 15.662377 103.392358 15.662377 103.392358
"20" "Ducula_bicolor" 2.254935376 113.7334098 2.254935376 113.7334098
"21" "Ducula_melanochroa" -5.831869 150.407183 -5.831869 150.407183
"22" "Ducula_pacifica" -17.852682 177.852193 -17.852682 177.852193
"23" "Ducula_pinon" -5.371486385 140.7823618 -5.371486385 140.7823618
"24" "Ducula_pistrinaria" -6.099499 155.209097 -6.099499 155.209097
"25" "Ducula_rubricera" -6.111533 155.249187 -6.111533 155.249187
"26" "Ducula_rufigaster" -5.338788819 140.7820331 -5.338788819 140.7820331
"27" "Ducula_zoeae" -5.391736776 140.8287814 -5.391736776 140.8287814
"28" "Alopecoenas_beccarii" -5.560043148 145.2209773 -5.560043148 145.2209773
"29" "Gallicolumba_crinigera" 8.399272854 124.8077651 8.399272854 124.8077651
"30" "Alopecoenas_erythropterus" -21.45833641 -136.3940724 -21.45833641 -136.3940724
"31" "Alopecoenas_jobiensis" -5.515263297 142.8700478 -5.515263297 142.8700478
"32" "Gallicolumba_luzonica" 15.90511954 121.4681097 15.90511954 121.4681097
