"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,222,"SWE","Sweden",1,"Östergötland","Laen|län","County",NA,"Östergötlands län"
2,222,"SWE","Sweden",2,"Blekinge","Laen|län","County",NA,"Blekinge län"
3,222,"SWE","Sweden",3,"Dalarna","Laen|län","County",NA,"Dalecarlia|Kopparberg"
4,222,"SWE","Sweden",4,"Gävleborg","Laen|län","County",NA,"Gävleborgs län"
5,222,"SWE","Sweden",5,"Gotland","Laen|län","County",NA,"Gotlands län|Gothland|Gottland"
6,222,"SWE","Sweden",6,"Halland","Laen|län","County",NA,"Hallands län"
7,222,"SWE","Sweden",7,"Jämtland","Laen|län","County",NA,"Jämtlands län"
8,222,"SWE","Sweden",8,"Jönköping","Laen|län","County",NA,"Jönköpings län"
9,222,"SWE","Sweden",9,"Kalmar","Laen|län","County",NA,"Kalmar län"
10,222,"SWE","Sweden",10,"Kronoberg","Laen|län","County",NA,"Kronobergs län"
11,222,"SWE","Sweden",11,"Norrbotten","Laen|län","County",NA,"Norrbottens län"
12,222,"SWE","Sweden",12,"Orebro","Laen|län","County",NA,"Örebro|Örebro län"
13,222,"SWE","Sweden",13,"Södermanland","Laen|län","County",NA,"Södermanlands län|Sörmland"
14,222,"SWE","Sweden",14,"Skåne","Laen|län","County",NA,NA
15,222,"SWE","Sweden",15,"Stockholm","Laen|län","County",NA,"Stockholms län|Estocolmo|Stoccolmo"
16,222,"SWE","Sweden",16,"Uppsala","Laen|län","County",NA,"Uppsala län"
17,222,"SWE","Sweden",17,"Värmland","Laen|län","County",NA,"Värmlands län"
18,222,"SWE","Sweden",18,"Västerbotten","Laen|län","County",NA,"Västerbottens län"
19,222,"SWE","Sweden",19,"Västernorrland","Laen|län","County",NA,"Västernorrlands län"
20,222,"SWE","Sweden",20,"Västmanland","Laen|län","County",NA,"Västmanlands län"
21,222,"SWE","Sweden",21,"Västra Götaland","Laen|län","County",NA,NA
