"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,222,"SWE","Sweden",1,"Östergötland",1,"Ödeshög","Kommuner","Municipality",NA,NA
2,222,"SWE","Sweden",1,"Östergötland",2,"Åtvidaberg","Kommuner","Municipality",NA,NA
3,222,"SWE","Sweden",1,"Östergötland",3,"Boxholm","Kommuner","Municipality",NA,NA
4,222,"SWE","Sweden",1,"Östergötland",4,"Finspång","Kommuner","Municipality",NA,NA
5,222,"SWE","Sweden",1,"Östergötland",5,"Kinda","Kommuner","Municipality",NA,NA
6,222,"SWE","Sweden",1,"Östergötland",6,"Linköping","Kommuner","Municipality",NA,NA
7,222,"SWE","Sweden",1,"Östergötland",7,"Mjölby","Kommuner","Municipality",NA,NA
8,222,"SWE","Sweden",1,"Östergötland",8,"Motala","Kommuner","Municipality",NA,NA
9,222,"SWE","Sweden",1,"Östergötland",9,"Norrköping","Kommuner","Municipality",NA,NA
10,222,"SWE","Sweden",1,"Östergötland",10,"Söderköping","Kommuner","Municipality",NA,NA
11,222,"SWE","Sweden",1,"Östergötland",11,"Vadstena","Kommuner","Municipality",NA,NA
12,222,"SWE","Sweden",1,"Östergötland",12,"Valdemarsvik","Kommuner","Municipality",NA,NA
13,222,"SWE","Sweden",1,"Östergötland",13,"Ydre","Kommuner","Municipality",NA,NA
14,222,"SWE","Sweden",2,"Blekinge",14,"Karlshamn","Kommuner","Municipality",NA,NA
15,222,"SWE","Sweden",2,"Blekinge",15,"Karlskrona","Kommuner","Municipality",NA,NA
16,222,"SWE","Sweden",2,"Blekinge",16,"Olofström","Kommuner","Municipality",NA,NA
17,222,"SWE","Sweden",2,"Blekinge",17,"Ronneby","Kommuner","Municipality",NA,NA
18,222,"SWE","Sweden",2,"Blekinge",18,"Sölvesborg","Kommuner","Municipality",NA,NA
19,222,"SWE","Sweden",3,"Dalarna",19,"Älvdalen","Kommuner","Municipality",NA,NA
20,222,"SWE","Sweden",3,"Dalarna",20,"Avesta","Kommuner","Municipality",NA,NA
21,222,"SWE","Sweden",3,"Dalarna",21,"Borlänge","Kommuner","Municipality",NA,NA
22,222,"SWE","Sweden",3,"Dalarna",22,"Falun","Kommuner","Municipality",NA,NA
23,222,"SWE","Sweden",3,"Dalarna",23,"Gagnef","Kommuner","Municipality",NA,NA
24,222,"SWE","Sweden",3,"Dalarna",24,"Hedemora","Kommuner","Municipality",NA,NA
25,222,"SWE","Sweden",3,"Dalarna",25,"Leksand","Kommuner","Municipality",NA,NA
26,222,"SWE","Sweden",3,"Dalarna",26,"Ludvika","Kommuner","Municipality",NA,NA
27,222,"SWE","Sweden",3,"Dalarna",27,"Malung","Kommuner","Municipality",NA,NA
28,222,"SWE","Sweden",3,"Dalarna",28,"Mora","Kommuner","Municipality",NA,NA
29,222,"SWE","Sweden",3,"Dalarna",29,"Orsa","Kommuner","Municipality",NA,NA
30,222,"SWE","Sweden",3,"Dalarna",30,"Rättvik","Kommuner","Municipality",NA,NA
31,222,"SWE","Sweden",3,"Dalarna",31,"Säter","Kommuner","Municipality",NA,NA
32,222,"SWE","Sweden",3,"Dalarna",32,"Smedjebacken","Kommuner","Municipality",NA,NA
33,222,"SWE","Sweden",3,"Dalarna",33,"Vansbro","Kommuner","Municipality",NA,NA
34,222,"SWE","Sweden",4,"Gävleborg",34,"Bollnäs","Kommuner","Municipality",NA,NA
35,222,"SWE","Sweden",4,"Gävleborg",35,"Gävle","Kommuner","Municipality",NA,NA
36,222,"SWE","Sweden",4,"Gävleborg",36,"Hofors","Kommuner","Municipality",NA,NA
37,222,"SWE","Sweden",4,"Gävleborg",37,"Hudiksvall","Kommuner","Municipality",NA,NA
38,222,"SWE","Sweden",4,"Gävleborg",38,"Ljusdal","Kommuner","Municipality",NA,NA
39,222,"SWE","Sweden",4,"Gävleborg",39,"Nordanstig","Kommuner","Municipality",NA,NA
40,222,"SWE","Sweden",4,"Gävleborg",40,"Ockelbo","Kommuner","Municipality",NA,NA
41,222,"SWE","Sweden",4,"Gävleborg",41,"Ovanåker","Kommuner","Municipality",NA,NA
42,222,"SWE","Sweden",4,"Gävleborg",42,"Söderhamn","Kommuner","Municipality",NA,NA
43,222,"SWE","Sweden",4,"Gävleborg",43,"Sandviken","Kommuner","Municipality",NA,NA
44,222,"SWE","Sweden",5,"Gotland",44,"Gotland","Kommuner","Municipality",NA,NA
45,222,"SWE","Sweden",6,"Halland",45,"Falkenberg","Kommuner","Municipality",NA,NA
46,222,"SWE","Sweden",6,"Halland",46,"Halmstad","Kommuner","Municipality",NA,NA
47,222,"SWE","Sweden",6,"Halland",47,"Hylte","Kommuner","Municipality",NA,NA
48,222,"SWE","Sweden",6,"Halland",48,"Kungsbacka","Kommuner","Municipality",NA,NA
49,222,"SWE","Sweden",6,"Halland",49,"Laholm","Kommuner","Municipality",NA,NA
50,222,"SWE","Sweden",6,"Halland",50,"Varberg","Kommuner","Municipality",NA,NA
51,222,"SWE","Sweden",7,"Jämtland",51,"Östersund","Kommuner","Municipality",NA,NA
52,222,"SWE","Sweden",7,"Jämtland",52,"Åre","Kommuner","Municipality",NA,NA
53,222,"SWE","Sweden",7,"Jämtland",53,"Berg","Kommuner","Municipality",NA,NA
54,222,"SWE","Sweden",7,"Jämtland",54,"Bräcke","Kommuner","Municipality",NA,NA
55,222,"SWE","Sweden",7,"Jämtland",55,"Härjedalen","Kommuner","Municipality",NA,NA
56,222,"SWE","Sweden",7,"Jämtland",56,"Krokom","Kommuner","Municipality",NA,NA
57,222,"SWE","Sweden",7,"Jämtland",57,"Ragunda","Kommuner","Municipality",NA,NA
58,222,"SWE","Sweden",7,"Jämtland",58,"Strömsund","Kommuner","Municipality",NA,NA
59,222,"SWE","Sweden",8,"Jönköping",59,"Aneby","Kommuner","Municipality",NA,NA
