year	co2
1880	289.469999320198
1881	289.73699929109796
1882	290.018999256594
1883	290.262999219848
1884	290.51199920470697
1885	290.796999194397
1886	291.099999177286
1887	291.41399913877996
1888	291.762999076226
1889	292.11299905472
1890	292.457998994675
1891	292.815998952761
1892	293.166998939368
1893	293.47699893819
1894	293.790998906272
1895	294.07899885431
1896	294.364998814724
1897	294.645998765603
1898	294.953998697529
1899	295.29999857843995
1900	295.674998441674
1901	296.00699796647
1902	296.32499742696604
1903	296.65399683721
1904	296.95399630481603
1905	297.288995727878
1906	297.661995136884
1907	298.097994484458
1908	298.517994006017
1909	298.935993455404
1910	299.376992880373
1911	299.828992337281
1912	300.352991748678
1913	300.909991143806
1914	301.418990778864
1915	301.93699030689703
1916	302.484989686417
1917	303.010989101134
1918	303.448988649144
1919	303.813988334742
1920	304.245987680735
1921	304.599987339398
1922	304.944986769602
1923	305.270986051848
1924	305.629985518364
1925	305.81298501445497
1926	305.953984520879
1927	306.17698387194
1928	306.32898332410997
1929	306.49498271638
1930	306.61998238495096
1931	306.821982136992
1932	307.09298182319196
1933	307.401981252789
1934	307.784980593634
1935	308.226979962101
1936	309.011979254044
1937	309.76397861585497
1938	310.293978204746
1939	310.850977584352
1940	311.356976868613
1941	311.810976277388
1942	312.17197573958197
1943	312.389975175671
1944	312.412974751704
1945	312.384974608474
1946	312.389973964515
1947	312.485973184282
1948	312.520972534148
1949	312.631972055313
1950	312.820971341375
1951	313.013970606384
1952	313.341970021567
1953	313.72996942762296
1954	314.094968812929
1955	314.414967972057
1956	314.69796718671796
1957	314.991966523988
1958	315.344965869144
1959	315.806965123165
1960	316.624964386756
1961	317.298963809512
1962	318.04396307864
1963	318.649962239874
1964	319.33296136961496
1965	319.81596053691004
1966	320.879959686665
1967	321.47995890516
1968	322.3889580037
1969	323.250956989202
1970	324.782955890747
1971	325.39995498503
1972	327.348954070199
1973	329.908953093573
1974	330.75595252301497
1975	330.82695199787
1976	331.54495097942504
1977	333.35295009492097
1978	335.00994935919203
1979	336.604948354699
1980	338.704947929881
1981	340.05894776320497
1982	340.64394740016496
1983	342.2659472636
1984	344.00794954789296
1985	345.458953765196
1986	346.902948106277
1987	348.774947372746
1988	351.27593294684
1989	352.893921398144
1990	354.07293005866404
1991	355.35293485141295
1992	356.228948924151
1993	356.924958862818
1994	358.253962204395
1995	360.238956449842
1996	362.004961459705
1997	363.251961810396
1998	365.93295801973096
1999	367.844974784876
2000	369.12498003173897
2001	370.672990098631
2002	372.834994284113
2003	375.41099503395304
2004	376.98700249873804
2005	378.907004978159
2006	381.01000695977405
2007	382.60302468386595
2008	384.73901862778
2009	386.28001904393
2010	388.717029278483
2011	390.944014691326
2012	393.015992715853
2013	395.724979344097
2014	397.546976931623
2015	399.325729582018
2016	402.414771925543
2017	405.137410298541
