Year	Temperature
1880	13.81
1881	13.89
1882	13.89
1883	13.8
1884	13.71
1885	13.68
1886	13.68
1887	13.65
1888	13.81
1889	13.88
1890	13.62
1891	13.75
1892	13.72
1893	13.67
1894	13.68
1895	13.76
1896	13.87
1897	13.87
1898	13.71
1899	13.81
1900	13.9
1901	13.84
1902	13.7
1903	13.61
1904	13.5
1905	13.71
1906	13.77
1907	13.6
1908	13.56
1909	13.52
1910	13.56
1911	13.57
1912	13.64
1913	13.65
1914	13.84
1915	13.88
1916	13.67
1917	13.56
1918	13.72
1919	13.73
1920	13.74
1921	13.82
1922	13.73
1923	13.75
1924	13.74
1925	13.79
1926	13.91
1927	13.8
1928	13.81
1929	13.65
1930	13.85
1931	13.9
1932	13.83
1933	13.7
1934	13.86
1935	13.79
1936	13.84
1937	13.96
1938	13.97
1939	13.97
1940	14.11
1941	14.18
1942	14.05
1943	14.07
1944	14.2
1945	14.08
1946	13.93
1947	13.96
1948	13.89
1949	13.89
1950	13.82
1951	13.93
1952	14.01
1953	14.07
1954	13.85
1955	13.85
1956	13.79
1957	14.05
1958	14.08
1959	14.03
1960	13.98
1961	14.06
1962	14.05
1963	14.07
1964	13.8
1965	13.89
1966	13.95
1967	13.98
1968	13.93
1969	14.07
1970	14.03
1971	13.91
1972	14.01
1973	14.15
1974	13.92
1975	13.99
1976	13.9
1977	14.17
1978	14.07
1979	14.16
1980	14.27
1981	14.33
1982	14.13
1983	14.31
1984	14.16
1985	14.11
1986	14.18
1987	14.33
1988	14.4
1989	14.29
1990	14.44
1991	14.41
1992	14.21
1993	14.23
1994	14.31
1995	14.44
1996	14.33
1997	14.47
1998	14.62
1999	14.39
2000	14.4
2001	14.53
2002	14.62
2003	14.61
2004	14.54
2005	14.66
2006	14.61
2007	14.63
2008	14.51
2009	14.63
2010	14.69
2011	14.57
2012	14.61
2013	14.64
2014	14.73
2015	14.86
2016	14.98
2017	14.89
